Loading HierarchicalGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/wc3maps512/bloodvenomfalls.hierarchical_graph.nop
Solution from (400,127), to (394,83). Optimal cost: 46.4853, Found cost: 52.0416, Expanded: 977, Generated: 2780, Total duration: 0.00161987, First move duration: 7.1447e-05
Solution from (243,140), to (208,157). Optimal cost: 46.7279, Found cost: 50.1421, Expanded: 915, Generated: 2329, Total duration: 0.00149186, First move duration: 7.0627e-05
Solution from (237,393), to (221,354). Optimal cost: 45.6274, Found cost: 55.8701, Expanded: 970, Generated: 2579, Total duration: 0.00158342, First move duration: 6.0892e-05
Solution from (339,354), to (372,383). Optimal cost: 45.0122, Found cost: 46.1838, Expanded: 741, Generated: 2249, Total duration: 0.00130483, First move duration: 7.3003e-05
Solution from (224,202), to (271,200). Optimal cost: 47.8284, Found cost: 64.598, Expanded: 1156, Generated: 3403, Total duration: 0.00203541, First move duration: 6.5521e-05
Solution from (214,217), to (193,254). Optimal cost: 45.6985, Found cost: 54.2843, Expanded: 966, Generated: 2907, Total duration: 0.00171029, First move duration: 6.3358e-05
Solution from (137,479), to (157,443). Optimal cost: 44.2843, Found cost: 49.4558, Expanded: 877, Generated: 2447, Total duration: 0.0014843, First move duration: 6.1346e-05
Solution from (370,167), to (418,174). Optimal cost: 50.8995, Found cost: 56.4558, Expanded: 1065, Generated: 2905, Total duration: 0.00180364, First move duration: 7.3731e-05
Solution from (288,259), to (253,278). Optimal cost: 49.3137, Found cost: 73.6985, Expanded: 1468, Generated: 4111, Total duration: 0.0024462, First move duration: 7.2322e-05
Solution from (361,455), to (355,409). Optimal cost: 48.4853, Found cost: 74.4264, Expanded: 1402, Generated: 4033, Total duration: 0.00239761, First move duration: 7.3084e-05
Solution from (416,283), to (421,237). Optimal cost: 48.0711, Found cost: 59.7696, Expanded: 1076, Generated: 2929, Total duration: 0.00182633, First move duration: 6.4403e-05
Solution from (207,122), to (187,163). Optimal cost: 49.2843, Found cost: 60.3553, Expanded: 1103, Generated: 3038, Total duration: 0.00184758, First move duration: 7.7038e-05
Solution from (158,117), to (201,138). Optimal cost: 51.6985, Found cost: 61.1127, Expanded: 1165, Generated: 3432, Total duration: 0.00201052, First move duration: 7.4463e-05
Solution from (191,272), to (228,299). Optimal cost: 48.1838, Found cost: 52.5269, Expanded: 896, Generated: 2733, Total duration: 0.0016477, First move duration: 8.498e-05
Solution from (261,216), to (214,221). Optimal cost: 49.8995, Found cost: 64.4264, Expanded: 1251, Generated: 3722, Total duration: 0.00213209, First move duration: 7.5254e-05
